#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,sxiv,"is a minimalist image viewer."
,ffmpeg,"can record and splice video and audio on the command line."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,fzf,"is a fuzzy finder tool."
,xorg-xbacklight,"enables changing screen brightness levels."
,alsa-tools,"custom"
,alsa-utils,"custom"
A,autojump,"custom"
,chromium,"custom"
,clang,"custom"
,cmake,"custom"
,dunst,"custom"
,fzf,"custom"
,gimp,"custom"
,hsetroot,"custom"
,htop,"custom"
,libreoffice-fresh,"custom"
,make,"custom"
,pavucontrol,"custom"
,picom,"custom"
,pkgconf,"custom"
,pkgfile,"custom"
,redshift,"custom"
,ripgrep,"custom"
,rust-analyzer,"custom"
,scrot,"custom"
,stow,"custom"
,sxhkd,"custom"
,the_silver_searcher,"custom"
,vim,"custom"
,wget,"custom"
,xf86-video-intel,"custom"
,zip,"custom"
G,https://gitlab.com/knarkzel/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://gitlab.com/knarkzel/dwm.git,"is the window manager."
